,Theme,Company
201,제약업체,"['대원제약', '신풍제약', '대한뉴팜', '종근당', '녹십자웰빙', '제일약품', '일양약품', '동화약품', '대웅제약', '진양제약', '국제약품', '고려제약', '셀트리온제약', '알리코제약', '코오롱생명과학', '신신제약', '유한양행']"
202,조림사업,"['자연과환경', '선창산업', '한익스프레스', '효성오앤비', '대유에이텍', '제이씨케미칼', '성창기업지주', '이건홀딩스']"
203,조선기자재,"['유니테스트', '인화정공', '오리엔탈정공', '삼영엠텍', '삼영이엔씨', '성광벤드', '한라IMS', '태웅', '중앙오션', '하이록코리아', '에스앤더블류', '케이에스피', '대창솔루션', '태광', ‘조광ILI', '한국카본', 'HSD엔진']"
204,주류,"['한국알콜', '하이트진로', 'MH에탄올', '풍국주정', '진로발효', '국순당', '무학', '하이트진로홀딩스', '보해양조']"
205,줄기세포,"['코아스템', '에이치엘비', '네이처셀', '바이온', '프로스테믹스', '동구바이오제약', '조아제약', '우리들휴브레인', '테고사이언스', '에이치엘비생명과학', '세원셀론텍', '제일약품', '부광약품', 'SK바이오랜드', 'SK']"
206,중국,"['오가닉티코스메틱', '대림제지', '컬러레이', '씨케이에이치', '키움증권', '헝셩그룹', '신세계', '골든센츄리', '로스웰', '에스앤씨엔진그룹', '윙입푸드', '호텔신라', '대양제지', '아모레퍼시픽', '글로벌에스엠', '크리스탈신소재', 'LG생활건강', 'GRT']"
207,지진,"['한국종합기술', '유엔젤', '이엑스티', '한창']"
208,진단키트,"['씨젠', '수젠텍', '피씨엘', '휴마시스', '랩지노믹스', '바이오니아']"
209,짐 로저스,"['크리스탈신소재', '솔루에타', '국일제지', '엑사이엔씨', '상보']"
210,차량용블랙박스,"['모바일어플라이언스', '엠씨넥스', '제이씨현시스템', '시너지이노베이션', '앤씨앤']"
211,출산장려정책,"['제로투세븐', '락앤락', '깨끗한나라', '메디앙스', '캐리소프트', '토박스코리아', '웅진씽크빅', '삼성출판사']"
212,취업,"['메가엠디', '에스코넥', 'TS인베스트먼트', '윌비스', 'DSC인베스트먼트']"
213,치매,"['모나리자', '대웅제약', '젬백스', '에이비엘바이오', '아이큐어', '차바이오텍', '보령제약', '엔에스엔', '고려제약', '진양제약', '씨티씨바이오', '메디포스트', '메디프론', '화일약품', '수젠텍']"
214,친환경,['삼천리자전거']
215,친환경차,"['창해에탄올', 'MH에탄올']"
216,카지노,"['GKL', '세미콘라이트', '토비스', '파라다이스', '코텍', '강원랜드']"
217,캐릭터상품,"['캐리소프트', '오로라', '쌍방울', '데브시스터즈']"
218,캠핑,['라이브플렉스']
219,콘크리트,"['보광산업', '엔피케이', 'SG']"
220,콘텐츠,"['캐리소프트', '삼성출판사']"
221,클라우드,"['파이오링크', '다우기술', '더존비즈온', '다우데이타', '미래테크놀로지']"
222,클로로퀸,"['일성신약', '신풍제약', '화일약품', '비씨월드제약', '크리스탈', '텔콘RF제약', 'EDGC', '씨젠', '랩지노믹스', 'WI', '진양제약']"
223,키오스크,"['윈스', '씨아이테크', '한네트', '비티원', '케이씨티', '케이씨에스', '푸른기술', 'SGA솔루션즈']"
224,키즈,"['토박스코리아', '제로투세븐', '오로라', '손오공', '삼성출판사']"
225,타이어,"['골든센츄리', '동아타이어', '넥센타이어', '디티알오토모티브', '넥센', '한국테크놀로지그룹', '금호타이어']"
226,탄소배출권,"['에코프로', '한솔홈데코', '후성', '휴켐스', '세종공업', '유니슨', '에코바이오', 'KC코트렐', '이건산업']"
227,탄소섬유,"['모나미', '코오롱플라스틱', '대상', '신성통상', '아진산업']"
228,태블릿PC,"[‘에스맥', '솔루에타', '유티아이', '미래나노텍', '유아이디', '아바텍']"
229,태양광,"['한국테크놀로지', 'SDN', '오성첨단소재', '신성이엔지', '에스엔유', '에스에너지', 'OCI', '주성엔지니어링', '한국철강', '티씨케이', '보락']"
230,태양광에너지,"['윌링스', '혜인', '티씨케이', '유니테스트', 'OCI', '한화솔루션', '이건홀딩스', '아바코', '신성이엔지', '대성파인텍', '현대에너지솔루션']"
231,택배,"['동방', '한익스프레스', '대림제지', '신대양제지', '아세아제지', 'CJ대한통운', '무림페이퍼']"
232,테러,"['한화', '평화산업', '퍼스텍', '한일단조', '스페코', '국영지앤엠', '혜인', '솔트웍스', '에이스테크', '이엠코리아', '아이쓰리시스템', '포메탈', '기산텔레콤']"
